Country,Oil,Coal,Cement,Gas,Flaring,Other Industry
Taiwan,49086784,145029220,4981808,61061764,0,993000
Tajikistan,3225222,3395577,1954783,478943,0,0
Tanzania,9208879,2540356,2518705,3798104,0,0
Thailand,104343016,59327092,19247986,81075490,395065,0
Togo,1472063,0,920085,227887,0,0
Tonga,199331,0,0,0,0,0
Trinidad and Tobago,3364914,0,282233,30399492,271296,0
Tunisia,14377216,0,4244700,13822865,348092,0
Turkey,131863570,157877940,38270240,97466344,209817,6389404
Turkmenistan,18507602,4,801386,41842160,2211475,0
Turks and Caicos Islands,370590,0,0,0,0,0
Tuvalu,11500,0,0,0,0,0
Uganda,4985531,0,628126,0,0,0
Ukraine,32810398,53042716,4338535,41139012,2253178,2876745
United Arab Emirates,85995720,9257262,5238919,127186536,1705207,0
United Kingdom,154927020,17556306,3615884,123220536,3259931,2566670
United States,2250856000,776767170,39714220,1755923500,63293600,24836760
Upper-middle-income countries,3758747100,10021740000,966994500,2448962300,180032640,192933570
Uruguay,7345179,0,354886,165880,0,0
Uzbekistan,10475438,15053507,6156684,92339330,743482,0
Vanuatu,226164,0,0,0,0,0
Venezuela,52036080,672758,985793,30256826,15617441,0
Vietnam,75600670,192076900,51314428,14474863,1259224,0
Wallis and Futuna,30666,0,0,0,0,0
World,12208835000,15401220000,1569345700,7900098000,410939550,301130750
Yemen,7497883,670204,628670,397579,840555,0
Zambia,4302536,2387755,1058631,0,0,0
Zimbabwe,3362181,7270984,530865,0,0,0
